sci_name,body mass
Thomasomys kalinowskii,
Thomasomys ischyrus,
Thomasomys incanus,
Thomasomys hylophilus,
Thomasomys hudsoni,
Thomasomys gracilis,
Thomasomys fumeus,
Thomasomys erro,
Thomasomys emeritus,
Thomasomys eleusis,
Thomasomys dispar,
Thomasomys daphne,
Thomasomys contradictus,
Thomasomys cinnameus,
Thomasomys cinereus,
Thomasomys cinereiventer,
Thomasomys caudivarius,
Thomasomys bombycinus,
Thomasomys baeops,
Thomasomys australis,
Thomasomys auricularis,
Thomasomys aureus,
Thomasomys apeco,
Thomasomys andersoni,
Theropithecus gelada,
Thaptomys nigrita,
Thamnomys venustus,
Thamnomys schoutedeni,
Thamnomys kempi,
Thalpomys lasiotis,
Thalpomys cerradensis,
Thallomys shortridgei,
Thallomys paedulcus,
Thallomys nigricauda,
Thallomys loringi,
Thainycteris aureocollaris,
Tetracerus quadricornis,
Tayassu pecari,
Taterillus tranieri,
Taterillus pygargus,
Taterillus petteri,
Taterillus lacustris,
Taterillus gracilis,
Taterillus emini,
Taterillus congicus,
Taterillus arenarius,
Tatera indica,
Tateomys rhinogradoides,
Tateomys macrocercus,
Tarsomys echinatus,
Tarsomys apoensis,
Tarsius wallacei,
Tarsius tumpara,
Tarsius tarsier,
Tarsius supriatnai,
Tarsius spectrumgurskyae,
Tarsius sangirensis,
Tarsius pumilus,
Tarsius pelengensis,
Tarsius niemitzi,
Tarsius lariang,
Tarsius fuscus,
Tarsius dentatus,
Taphozous troughtoni,
Taphozous theobaldi,
Taphozous perforatus,
Taphozous nudiventris,
Taphozous melanopogon,
Taphozous mauritianus,
Taphozous longimanus,
Taphozous kapalgensis,
Taphozous hilli,
Taphozous hildegardeae,
Taphozous hamiltoni,
Taphozous georgianus,
Taphozous australis,
Taphozous achates,
Tapecomys primus,
Tanyuromys aphrastus,
Tamiops swinhoei,
Tamiops rodolphii,
Tamiops mcclellandii,
Tamiops maritimus,
Tamiasciurus mearnsi,
Tamiasciurus douglasii,
Talpa talyschensis,
Talpa stankovici,
Talpa romana,
Talpa ognevi,
Talpa occidentalis,
Talpa levantis,
Talpa davidiana,
Talpa caucasica,
Talpa caeca,
Talpa altaica,
Taeromys taerae,
Taeromys punicans,
Taeromys microbullatus,
Taeromys hamatus,
Taeromys celebensis,
Taeromys callitrichus,
Taeromys arcuatus,
Tadarida ventralis,
Tadarida teniotis,
Tadarida lobata,
Tadarida latouchei,
Tadarida insignis,
Tadarida fulminans,
Tadarida brasiliensis,
Tadarida aegyptiaca,
Tachyoryctes splendens,
Tachyoryctes macrocephalus,
Syntheosciurus brochus,
Synaptomys cooperi,
Synaptomys borealis,
Symphalangus syndactylus,
Sylvisorex vulcanorum,
Sylvisorex silvanorum,
Sylvisorex pluvialis,
Sylvisorex oriundus,
Sylvisorex ollula,
Sylvisorex morio,
Sylvisorex konganensis,
Sylvisorex johnstoni,
Sylvisorex isabellae,
Sylvisorex howelli,
Sylvisorex granti,
Sylvisorex corbeti,
Sylvisorex camerunensis,
Sylvisorex akaibei,
Sylvilagus varynaensis,
Sylvilagus transitionalis,
Sylvilagus tapetillus,
Sylvilagus robustus,
Sylvilagus palustris,
Sylvilagus obscurus,
Sylvilagus nuttallii,
Sylvilagus mansuetus,
Sylvilagus insonus,
Sylvilagus graysoni,
Sylvilagus floridanus,
Sylvilagus dicei,
Sylvilagus cunicularius,
Sylvilagus cognatus,
Sylvilagus brasiliensis,
Sylvilagus bachmani,
Sylvilagus audubonii,
Sylvilagus aquaticus,
Sylvicapra grimmia,
Syconycteris hobbit,
Syconycteris carolinae,
Syconycteris australis,
Sus verrucosus,
Sus scrofa,150
Sus philippensis,
Sus oliveri,
Sus celebensis,
Sus cebifrons,
